n_step,n_eval,f_best,f_avg,f_std,test_f1_best,test_top1_best
0,1,0.9296875,0.0,0.0,0.9813565469713456,0.8972
1,24,0.796875,0.8896484375,0.0408019296725842,0.949002067864334,0.858
100,2400,0.609375,0.7229817708333334,0.04158393275377402,0.828972167727202,0.7147
