n_step,n_eval,f_best,f_avg,f_std,test_f1_best,test_top1_best
0,1,0.90625,0.0,0.0,0.9813565469713456,0.8972
1,24,0.78125,0.8919270833333334,0.0631342600125034,0.9722837266733284,0.9014
100,2400,0.53125,0.7682291666666666,0.0979595983010626,0.8683351128447063,0.7384
200,4800,0.4375,0.6770833333333334,0.1066119244294725,0.79455666345932,0.6625
300,7200,0.3125,0.7096354166666666,0.0707332127892764,0.7744996884195277,0.6779
400,9600,0.3125,0.6614583333333334,0.09532815217564129,0.7744996884195277,0.6779
