n_step,n_eval,f_best,f_avg,f_std,test_f1_best,test_top1_best
0,1,0.8984375,0.0,0.0,0.9796138302649304,0.8865
1,100,0.796875,0.90140625,0.03569517485336778,0.9346979975856923,0.8371
